"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1","Ne keshtjelle","Marianne Gruber","10","Dollapi 13",""
"2","Albumi","Fan S Noli","10","Dollapi 13",""
"3","Fije bari","Uollt Uitman","4","Dollapi 13",""
"4","Nje dore oriz","Kamala Markandoja","5","Dollapi 13",""
"5","Uashington DK","Gor Vidal","3","Dollapi 13",""
"6","Motosharra","Nils Parling","4","Dollapi 13","Roman"
"7","Krilla njemijekraheshe","Jasunar Kavabeta","4","Dollapi 13",""
"8","Pushtet pa lavdi","Frenk Hardi","1","Dollapi 13",""
"9","Pylli SA-NU","","1","Dollapi 13",""
"10","Proze skandinave","","1","Dollapi 13",""
"11","Kurosivo","T. Rako","2","Dollapi 13","Roman"
"12","Poezi japoneze","","2","Dollapi 13","poezi"
"13","Prijesi I senindeve","Oskeola","1","Dollapi 13",""
"14","Po tani o I shkrete","","1","Dollapi 13","roman"
"15","Skenderbeu","Antonio Xonkada","1","Dollapi 13",""
"16","Perralla e fucise","Xh. Suift","1","Dollapi 13",""
"17","Rrefimi I Helemes","Onufri","5","Dollapi 13",""
"18","Aforizma","Oscar Wilde","4","Dollapi 13",""
"19","Mefisto","Klaus Man","4","Dollapi 13","Roman"
"20","Hija e Klaudios","M.L Gusman","4","Dollapi 13",""
"21","Njeriu I padukshem","Herberi XhorxhUell","6","Dollapi 13",""
"22","Nje ngjarje ne korrik","","2","Dollapi 13","Roman"
"23","Sduhet te jete keshtu","Xhejm Uells","2","Dollapi 13",""
"24","Parajsa e humbur","Xhon Militon","4","Dollapi 13",""
"25","Poema","","3","Dollapi 13",""
"26","Gjermania , nje perralle dimri","H. Haine","3","Dollapi 13",""
"27","Zoter te vesez","Zhak Rumen","2","Dollapi 13",""
"28","Lamtumire stine","Ernest Heminguej","1","Dollapi 13",""
"29","Geci I berlinit","N. Genit","1","Dollapi 13",""
"30","Vrasjet e shekullit","Kirk Uillson","9","Dollapi 13",""
"31","Saga e forsaideve","Xhon Gallsuhi","4","Dollapi 13","Roman"
"32","David Koperfildi","Carls Dikens","7","Dollapi 13","Roman"
"33","Panairi I kotesirave","","11","Dollapi 13",""
"34","Gjeniu","Teodor Drajzer","6","Dollapi 13","Roman"
"35","Xhon O Kilens","Sangblladet","2","Dollapi 13","Roman"
"36","Katerina","Sali Salminen","2","Dollapi 13",""
"37","Tregime e novela te shekullit njezet","","1","Dollapi 13",""
"38","Pasterti dhe vepra e tij","H.Hajderi","1","Dollapi 13",""
"39","Ortan","Henaro Perjeto","1","Dollapi 13","Roman"
"40","Bari biri I kazanit","Xhejms","1","Dollapi 13",""
"41","Djaloshi zezak","","1","Dollapi 13","Roman"
"42","Debora e kilomaxhios","","","Dollapi 13",""
"43","Beteja vazhdon","","1","Dollapi 13",""
"44","Te padukshmit","Vivien Ogilvi","2","Dollapi 13","Roman"
"45","Stuhia e shkretetires","M.E Morris","1","Dollapi 13",""
"46","Mikelanxhelo","Herman Arim","1","Dollapi 13",""
"47","Ora e gjermanishtes","","1","Dollapi 13","Roman"
"49","Nenpesha e Dhunes","Toni Lubonja","10","Dollapi 1","Histori"
"50","Nata para apokalipsit","Kasem Trebeshina","19","Dollapi 1",""
"51","Dhe engjejt simulojne","Fatmir Musai","7","Dollapi 1","Tregime;ese"
"52","Mekati I bukur","Xhevahir Lleshi","5","Dollapi 1","Roman"
"53","Pashai I Elbasanit","B.Myftari; S.Mazreku","2","Dollapi 1",""
"54","Kenge ne miniere","Dhimiter S. Shuteriqi","5","Dollapi 1","Tregime dhe perskrime"
"55","Syte e Simonides","Dhimiter S. Shuteriqi","9","Dollapi 1","Roman"
"56","Gurnecka","Dhimiter S. Shuteriqi","4","Dollapi 1","Tregime"
"57","Vepra Poetike e Z. Sermbes","Klara Kodra","3","Dollapi 1","Monografi"
"58","Toke e ashper","Teodor Laco","12","Dollapi 1","Roman"
"59","Nje vit I hidhur","Teodor Laco","5","Dollapi 1","Roman"
"60","Dallget e detit","Ramiz Lika","1","Dollapi 1","Roman"
"61","Kreshnikasit","Apostol Nasi","1","Dollapi 1","Roman"
"62","Te gjithe lumenjte rrjedhin","Teodor Laco","2","Dollapi 1","Roman"
"63","Belxhiku qe kendon vence","Shevqet Musaraj","7","Dollapi 1","Roman"
"64","Gjurma e vetetimes","Betim Muco","7","Dollapi 1","Roman"
"65","Taifun ne brigjet tona","Ramiz Lika","4","Dollapi 1","Roman"
"66","Stinet e jetes","Natasha Lako","5","Dollapi 1","Roman"
"67","Epopeja e Ballit Kombetar","Shevqet Musaraj","1","Dollapi 1","Poeme"
"68","Novela","Shevqet Musaraj","1","Dollapi 1","Novele"
"69","Drite","Shevqet Musaraj","1","Dollapi 1","Novele"
"70","Fundi I nje padrejtesie","Paskal Milo","2","Dollapi 1","Studim historiko-politik"
"71","Nen diellin e jugut","Sulejman Mato","1","Dollapi 1","Poezi"
"72","Mbi glob fryjne ereza","Sulejman Mato","4","Dollapi 1","Poezi"
"73","Jeta dhe motrat e saj","Eglantina Mondia","4","Dollapi 1","Roman"
"74","Nje loder per te rritur","Bardhyl Minxhozi","3","Dollapi 1","Tregime"
"75","Interviste me djallin","Ymer Minxhozi","2","Dollapi 1",""
"76","E panjohura","Stavri Madhi","1","Dollapi 1","Roman"
"77","9 vepra letrare","Dhimiter Shuteriqi","2","Dollapi 1",""
"78","4 vepra letrare","Dhimiter Shuteriqi","1","Dollapi 1",""
"79","Volteri","Koli Xoxi","1","Dollapi 1","Monografi"
"80","Kenge dhe tregime popullore per gruan","-","1","Dollapi 1","Tregime"
"81","Sami Frasheri","Zijai Xholi","2","Dollapi 1","Monografi"
"82","Vepra te zgjedhura","Risto Siliqi","2","Dollapi 1",""
"83","Te fala nga fshati","Sterjo Spasse","2","Dollapi 1","Tregime"
"84","Pse?!","Sterjo Spasse","8","Dollapi 1","Roman"
"85","Syte e dashurise","Nasi Lera","1","Dollapi 1","Tregime"
"86","Vepra letrare 1","Shevqet Musaraj","2","Dollapi 1",""
"87","Vepra letrare 4","Shevqet Musaraj","2","Dollapi 1",""
"88","Vepra letrare 7","Shevqet Musaraj","2","Dollapi 1",""
"89","Korbat mbi mermer","Teodor Laco","2","Dollapi 1","Roman"
"90","Gjaku I Prillit","Nasi Lera","2","Dollapi 1","Roman"
"91","Pushimet e Kolonelit","Teodor Laco","5","Dollapi 1","Roman"
"92","Nje dite dhe nje jete","Teodor Laco","5","Dollapi 1","Novele"
"93","Zemerimi I nje njeriu te urte","Teodor Laco","2","Dollapi 1","Tregime e novela"
"94","Si ndodh ngahere","Lliko Nano","7","Dollapi 1",""
"95","Portat e Dashurise","Teodor Laco","4","Dollapi 1","Tregime"
"96","Perballimi","Teodor Laco","1","Dollapi 1","Roman"
"97","Ajri I ftohte I mesnates","Teodor Laco","3","Dollapi 1","Tregime"
"98","Drama","Teodor Laco","5","Dollapi 1","Drame"
"99","Lendina e loteve","Teodor Laco","1","Dollapi 1","Roman"
"100","Njeriu pa emer","Niko Nikolla","9","Dollapi 1","Roman"
"101","Vlaga e dheut","Filip Ndocaj","2","Dollapi 1","Roman"
"102","Zgjimi","Sterjo Spasse","9","Dollapi 1","Roman"
"103","Ara ne Mal","Petro Marko","8","Dollapi 1","Roman"
"104","Griva","Petro Marko","3","Dollapi 1","Roman"
"105","Ultimatum","Petro Marko","2","Dollapi 1","Roman"
"106","Te thjeshtet","Petro Marko","3","Dollapi 1","Roman"
"107","O sot, O kurre","Sterjo Spasse","2","Dollapi 1","Roman"
"108","Ata nuk ishin vetem","Sterjo Spasse","2","Dollapi 1","Roman"
"109","Kurora e Rinise","Sterjo Spasse","1","Dollapi 1",""
"110","Studime e artikuj per letersine e huaj te shek. XX","Iskra Thoma","1","Dollapi 1",""
"111","Porosia e madhe","Rexhep Qosja","2","Dollapi 1","Monografi"
"112","Panteoni I rralluar","Rexhep Qosja","1","Dollapi 1","Kritike letrare"
"113","Naim Frasheri","Dhimiter Shuteriqi","1","Dollapi 1","Monografi"
"114","Marin Becikemi dhe shkrime te tjera","Dhimiter Shuteriqi","3","Dollapi 1","Studime letrare"
"115","Stuhia","Ramiz Lika","2","Dollapi 1","Roman"
"116","Tradita dhe risi letrare","Jorgo Bulo","2","Dollapi 1",""
"117","Poetika e dokumentit","Nasho Jorgaqi","2","Dollapi 1","Studime letrare"
"118","Nga romantizmi rrjedhave te realizmit","Ali Xhiku","3","Dollapi 1",""
"119","Nga jeta ne teater, nga teatri ne jete","Ismail Hoxha","1","Dollapi 1","Studime,kritika"
"120","Vepra letrare","Haki Shtermilli","1","Dollapi 1",""
"121","60 tregime ne nje","Dhimiter Shuteriqi","1","Dollapi 1","Tregime"
"122","Fyelli I Marsianit","Dhimiter Shuteriqi","1","Dollapi 1","Tregime"
"123","Pishtare","Sterjo Spasse","3","Dollapi 1","Roman"
"124","Kryengritesit","Sterjo Spasse","4","Dollapi 1","Roman"
"125","Marreveshje per te jetuar","Faruk Myrtaj","3","Dollapi 1","Tregime e novele"
"126","Operacioni vazhdon","Stavri Madhi","2","Dollapi 1","Roman"
"127","Ata qe kam njohur","Faruk Myrtaj","7","Dollapi 1","Tregime"
"128","Dite qe veshtrojne larg","Betim Muco","3","Dollapi 1",""
"129","Perseri me shoket","Xhevair Lleshi","2","Dollapi 1","Tregime"
"130","Drita e syve","Sulejman Mato","4","Dollapi 1","Tregime"
"132","Na ruaj mend o zot!","Dhimiter Xhuvani","          19","Dollapi III","Tregime"
"133","Shqiptaret dhe Garibaldi","Koli Xoxo","           2","Dollapi III",""
"134","Keshilltaret","Fatmir Gjata","           2","Dollapi III",""
"135","Me nje torb ne fisheke","Fatmir Gjata","           4","Dollapi III","Ditar"
"136","E perditshme","Nde Gjetja","           2","Dollapi III","Roman"
"137","Shtegu I bardhe","Dhimiter Xhuvani","           3","Dollapi III","Roman"
"138","Vdekja e zotit Kaloti","Dhimiter Xhuvani","           6","Dollapi III","Tregime"
"139","Rrugeve te kantiereve","Dhimiter Xhuvani","          2","Dollapi III","Tregime"
"140","Shpirtin nuk e shes","Dhimiter.Xhuvani","          8","Dollapi III","Roman"
"141","Juga e bardhe","Jakov Xexa","          6","Dollapi III","Roman"
"142","Do te jetojme ndryshe","Dhimiter.Xhuvani","           7","Dollapi III","Roman"
"143","Perseri ne kembe","Dhimiter.Xhuvani","           7","Dollapi III","Roman"
"144","Zgjimin I Nebi Surelit","Dhimiter.Xhuvani","           2","Dollapi III","Roman"
"145","Tregime te zgjedhura","Dhimiter.Xhuvani","           1","Dollapi III",""
"146","E nesermja e nje gruaje","Dhimiter Xhuvani","          3","Dollapi III","Roman"
"147","Krait Dropollite","Spiro Xhai","          4","Dollapi III",""
"148","Atje ku mbrojne garet e kaldremit","Spino Xhikaidi","           5","Dollapi III",""
"149","Novela","Jakov xoxa","           1","Dollapi III",""
"150","Tete dite pa buke","Qamil Guranjaku","          4","Dollapi III","Tregime"
"151","Kthimet","Ndoc Gjetja","          4","Dollapi III","Poezi"
"152","Trendafil ne minier","Gazment Kongoli","          3","Dollapi III",""
"153","Nje cast frazimi","Klementa Hysa","          2","Dollapi III",""
"154","Ku rilindej Shqiperia","Milot Sotir Gurra","          2","Dollapi III","Vellim Poetik"
"155","Tregime te zgjedhura","Milot Sotir Gurra","          2","Dollapi III",""
"156","Fundi I nje vjeshte","Loni Papa","          2","Dollapi III","Roman"
"157","Luginat","Hasan Petrela","          6","Dollapi III","Roman"
"158","Ura nen shelgje","Andrea Prifti","          6","Dollapi III","Tregime"
"159","Kthesa te forta","Bazi Brahimi","          2","Dollapi III",""
"160","Te munduarit","Hasan Petrela","          1","Dollapi III","Roman"
"161","Ktu muzaka me Hastem","Gazmend Kongoli","          1","Dollapi III",""
"162","Bashke kohesisht","Vito Koci","          1","Dopllapi III","Roman"
"163","Qendresa","Vito Koci","          4","Dollapi III","Roman"
"164","Buka e nje stine me barre","Koco Kosta","          4","Dollapi III",""
"167","Tregime te mocme shqiptare","Mitrush Kuteli","18","Dollapi 10",""
"168","Vepra Letrare","Jeronim De Rada","10","Dollapi 10",""
"169","Vepra letrare 2","Pashko Vaso","2","Dollapi 10",""
"170","Poezia Shqipe","Dhori Qirjazi","5","Dollapi 10","Poezi"
"171","Vjersha te Zgjedhura","Fan Noli","12","Dollapi 10","Poezi"
"172","Poezi te zgjedhura","Fan Noli","6","Dollapi 10","Poezi"
"173","Rrefime te Arberit","Jeronim De Rada","2","Dollapi 10","Poem"
"174","Zani i Atdheut","Hil Mosi","2","Dollapi 10","Poezi/Proza"
"175","Asdren Vepra 1","Asdreni","2","Dollapi 10",""
"176","Asdren Vepra 2","Asdreni","3","Dollapi 10",""
"177","Albumi","Fan S.Noli","26","Dollapi 10","Poezi"
"178","Kthimi i Mid'hat Frasherit","PHJENIX","9","Dollapi 10",""
"179","Rrembimi i Europes","Aurel Plasari","8","Dollapi 10","Ese"
"180","Poezi te zgjedhura , Perkthime,Introdukta","Fan S.Noli","5","Dollapi 10","Poezi"
"181","Vepra 1","Fan S.Noli","8","Dollapi 10",""
"182","Vepra 2","Fan S.Noli","4","Dollapi 10",""
"183","Vepra 3","Fan S.Noli","1","Dollapi 10",""
"184","Vepra 5","Fan S.Noli","1","Dollapi 10",""
"185","Ballada e yjeve te ndezur","Perikli Jorgoni","2","Dollapi 10","Poem"
"186","Shenje ne lis","Ali D.Jasiqi","2","Dollapi 10",""
"187","Te birte e shekullit te ri","Migjeni","3","Dollapi 10","Poem"
"188","Njerez dhe gure","Anastas Kondo","2","Dollapi 10","Tregim"
"189","Portat e Diellit","Anastas Kondo","10","Dollapi 10","Tregim"
"190","Rrethimi i Shkodres","Marlin Barleti","2","Dollapi 10",""
"191","Kenga e sprasme e Bales","Gauril Dora","6","Dollapi 10","Poem"
"192","Migjeni Poezi Shqiptare","Migjeni","3","Dollapi 10","Poezi"
"193","Naim Frasheri Poezi Shqiptare","Naim Frasheri","4","Dollapi 10","Poezi"
"194","Ndre Mjeda Poezi shqiptare","Ndre Mjeda","2","Dollapi 10","Poezi"
"195","Poete e Rilindjes","","1","Dollapi 10","Poezi"
"196","Parada e dasmes","Kristaq Cepa (Kapa)","2","Dollapi 10",""
"197","Skenderbeu","Frank Bardhi","2","Dollapi 10","Apologji"
"198","Poezi","Ndre Mjeda","4","Dollapi 10","Poezi"
"199","Poezi Shqipe","Jeronim De Rada","2","Dollapi 10","Poezi"
"200","Serafina Topia","Jeronim De Rada","2","Dollapi 10","Poeme"
"201","Flamuri i Arberit","Jeronim De Rada","1","Dollapi 10",""
"202","Vrases me duar te bardha","Skifter Kelleci","6","Dollapi 10","Roman"
"203","Mallkimi i shkronjave shqipe dhe sperfolja  shqiptareve","Petro N. Luarasi","5","Dollapi 10",""
"204","Vepra Letrare","Ndre Mjeda","4","Dollapi 10",""
"205","Magjia dhe magjistaret e fjales","Jorgo Bulo","8","Dollapi 10","Kritik"
"206","Ata do te kthehen perseri","Stephen King","2","Dollapi 10",""
"207","Kur mbaron dhe kur vdes burri","Anastas Kondo","5","Dollapi 10","Novel"
"208","Mirupafshim ne Saigon","Anastas Kondo","4","Dollapi 10","Tregime"
"209","Ata qe do te doja ti kisha shoke tere jeten","Anastas Kondo","1","Dollapi 10","Tregime"
"210","Keshtjella me Barbane","Jonuz Dini","3","Dollapi 10","Roman"
"211","Fshati midis ujerave","Kole Jakova","2","Dollapi 10","Roman"
"212","Shpate dhe dashuri","Jonuz Dini","3","Dollapi 10","Roman"
"213","Udhezime per kapercimin","Mehmet Kroja","5","Dollapi 10","Roman"
"214","SOS per mua a per ti","Mico Kallamata","3","Dollapi 10","Roman"
"215","Mic sokoli","sulejman Krasniqi","4","Dollapi 10","Roman"
"216","Shetitje ne Kozmos","Alqi Kristo","7","Dollapi 10","Roman"
"217","Beteja te nendheshme","Sulejman Krasniqi","1","Dollapi 10","Roman"
"218","Tri motra , tri histori","Suljeman Krasniqi","2","Dollapi 10","Roman"
"219","Dardanet","Sulejman Krasniqi","1","Dollapi 10",""
"220","Shkendijat","Alqi Kristo","1","Dollapi 10","Novel"
"221","Rruga shtepise time","Nazmi Rrahmani","1","Dollapi 10","Roman"
"222","Zani i zemres","Filip Shiroka","1","Dollapi 10","Poem"
"223","Ndre Mjeda","Rinush Idrizi","1","Dollapi 10","Biografi"
"224","Vajzat dhe dallendyshet","Ali Asllani","1","Dollapi 10","Poezi"
"225","Ditet e Teutes","Diana Culi","1","Dollapi 10","Tregime/novele"
"226","Dhe nata u nda ne mes","Diana Culi","1","Dollapi 10","Roman"
"227","Rekuiem","Diana Culi","1","Dollapi 10","Roman"
"228","Vlere shpirterore","At Anton Harapi","3","Dollapi 10","Analize"
"229","Agu i brishte","Lila Karaj","4","Dollapi 10",""
"230","Lirikat e Janit","Kico Papa","3","Dollapi 10",""
"231","Lufta Antifashiste Nacionalclirimtare ne qarkun e Korces","","1","Dollapi 10",""
"232","Yje te Pashuar","","1","Dollapi 10",""
"233"," Mjeshter te piktures","Eduard Guxholli","1","Dollapi 10",""
"234","Roman shqiptar i realizimit socialist per luften nacionalclirimtare","Jorgo Bulo","","Dollapi 10","Roman"
"235","Jakup Ferri","Xheladin Gosturani","1","Dollapi 10",""
"236","Rroba e fjaleve gjithnje ngushte rri","Faruk Myrtaj","1","Dollapi 10",""
"237","Ngjarje te diteve te veshtira","Shefqet peci","1","Dollapi 10",""
"238","Shtrojera","Nebil duraku","3","Dollapi 10","Roman"
"239","Ankthi i diteve te fundit","Skifter Kellici","2","Dollapi 10",""
"240","Krizantemat e shiut","Milarov Kallupi","1","Dollapi 10",""
"241","Dollia e fundit","Naun Kule","1","Dollapi 10","Tregime"
"242","Lajmetarja e vdekjes","Teodor Keko","2","Dollapi 10","Tregime/Novela"
"243","Te ju trokas","Hiqmet Mecaj","5","Dollapi 10","Poezi"
"244","Valbona e kalter","Avni R.Mulaj","5","Dollapi 10",""
"245","Poezi Shqipe","Tonin Miloti","5","Dollapi 10","Poezi"
"246","Kohet e eres","Vullnet Mato","1","Dollapi 10",""
"247","Fjalet","Suljeman Mato","1","Dollapi 10",""
"248","Kur qeshin syt e saj","Tasi Proko","2","Dollapi 10",""
"249","Fjala fishkellen","Teodor Keko","2","Dollapi 10",""
"250","Dafine e dites","Sami Milloshi","5","Dollapi 10",""
"251","Sule Dedaj","Salih Ceka","1","Dollapi 10",""
"252","Nikolla Koperniku","Nikolla Koperniku","1","Dollapi 10",""
"253","Mbrojta e pushtetit te ri popullor","","3","Dollapi 10",""
"254","Magjistari i nates","Astrit Karadaku","3","Dollapi 10","Roman"
"255","Nese me kerkon","hajderin Muja","2","Dollapi 10",""
"256","Pse e vrane Odisene","Anastas Kondo","4","Dollapi 10",""
"257","Loja","Teodor Keko","3","Dollapi 10",""
"258","Porta e Madhe","Enver Kushi","5","Dollapi 10",""
"259","Era e kohes","Anastas Dushku","2","Dollapi 10",""
"260","Qiriu","Gjike Kuqani","2","Dollapi 10",""
"261","Pellumbat e eger","Hekuran Miraka","1","Dollapi 10","Poezi"
"262","Heshtja e armeve","Ramiz Kelmendi","1","Dollapi 10","Roman"
"263","Vrasje ne pranevere","Skifter Kelleci","1","Dollapi 10",""
"264","Peshqeshi hidhur","Iljaz Kapxhiu","1","Dollapi 10",""
"265","kur kercasin bocet e pishave","Shefki Karadoku","1","Dollapi 10",""
"266","Jehona e kohes","Mark Krasniqi","1","Dollapi 10",""
"267","Takim apo duel","Mark Dodani","1","Dollapi 10",""
"268","Dua te harroj emrin tim","Pellumb Muka","1","Dollapi 10","Poezi"
"271","Tregimet e Donit","Mihail Shallohov","                 6","Dollapi 11","Tregim"
"272","Kolombreja","Dino Buxati","                 4","Dollapi 11","Tregim"
"273","Fati I Dites","Mario Luxi","                 2","Dollapi 11",""
"274","Te jetosh,te dashurosh ,te kuptohesh","Leo Buscaglia","                  5","Dollapi 11","Psikologji"
"275","Qente","Zahari Stanku","                  1","Dollapi 11",""
"276","Kasto Garcia Roza","Hezus Iskarai","                  1","Dollapi 11",""
"277","Njeriu me karafil","Janis Ricos","                   1","Dollapi 11","Poeme"
"278","Zoti president","Migel Anhel Asturias","                   1","Dollapi 11","Roman"
"279","Kasollja","Vicente Blasko Jbanjez","                   1","Dollapi 11",""
"280","Nen zgjedhje","Ivan Vazov","                   1","Dollapi 11","Roman"
"281","Garabomboja","Manuel Skorca","                    1","Dollapi 11","Roman"
"282","Apologjia e vertete e Sokratit","Kostas Varnalis","                    1","Dollapi 11","Ditari I Penelopes"
"283","Samarkanda ose ne gjurme te Omar Khajamit","Amin Maulouf","                    1","Dollapi 11",""
"284","Ballkon I hapur","Frederiko Garcia Lorka","                    1","Dollapi 11","Poezi"
"285","Jeta e Mihai Emineskut","Xheorxhe Kelinesku","                     2","Dollapi 11","Biografi"
"286","Mehmet Jmcakut","Jashar Qemal","                     3","Dollapi 11",""
"287","Autostrada e Jugut","Hulio Kortasar","                     2","Dollapi 11","Tregim"
"288","Ja vdekje,ja liri","Niko Kazanzaqi","                     1","Dollapi 11","Roman"
"289","Tokat e Sakramentos","Francesko Javine","                     2","Dollapi 11","Roman"
"290","Zemra","Edmondo De Amicis","                     6","Dollapi 11","Roman"
"291","Ne mos neser,pasneser","Rene Rexhani","                     6","Dollapi 11","Roman"
"292","Plaku qe lexonte romane dashurie","Luism Sepulvedo","                     5","Dollapi 11","Novele"
"293","Ushtari I mire Shvejk 1","Jarosllav Hashek 1","                     1","Dollapi 11","Roman"
"294","Ushtari I mire Shvejk 2","Jarosllav Hashek 2","                     1","Dollapi 11","Roman"
"295","Ushtari I mire Shvejk 3/4","Jarosllav Hasgek 3,4","                      3","Dollapi 11","Roman"
"296","Korrupsion ne pallatin e drejtysise","Ugo Beti","                      1","Dollapi 11",""
"297","Simploni I shkel syrin Frejusit","Elio Vitorini","                      1","Dollapi 11",""
"298","Eneida","Virgjil Marroni","                      1","Dollapi 11","Veper epike"
"299","Emri I trandafilit","Umberto Eko","                     17","Dollapi 11","Roman"
"300","Dita e Kukuvajkes","Leonardo Shasha","                        3","Dollapi 11","Roman"
"301","Ne Zhelanet","Saverio Strati","                       2","Dollapi 11","Roman"
"302","Keshilli I Egjiptit.Secilit hakun","Leonardo Shasha","                      3","Dollapi 11",""
"303","Ura e psheterimave","Mishel Xevako","                     4","Dollapi 11",""
"304","Toka e leruar","Ernesto Kastro","                      4","Dollapi 11","Roman"
"305","Leonardo Da Vinci","","                      2","Dollapi 11",""
"306","Xhordano Bruno","","                       2","Dollapi 11",""
"307","Dita e nje vezhguesi","Tregime Italiane","                      2","Dollapi 11","Tregim"
"308","Toka e mohuar","Karlo Levi","                      1","Dollapi 11","Roman"
"309","Ditari I nje mjeku fshati","George Ulieru","                      1","Dollapi 11","Ditar"
"310","Vjersha dhe poema te zgjedhura","Mihai Eminesku","                      1","Dollapi 11","Vjersha&Poema"
"311","Jeta ne Madrit","Hezus Jskarai","                      1","Dollapi 11",""
"312","I fundit vjen korbi","Italio Kalvino","                     17","Dollapi 11","Tregime"
"313","Mosbindja","Alberto Morabia","                      11","Dollapi 11","Roman"
"314","Helioni <Uji I ishullit kos","Vasil Vasilikos","                       3","Dollapi 11",""
"315","Poezi","Eminesku","                       3","Dollapi 11","Poezi"
"316","Njezet poezi dashurie dhe nje kenge e deshperuar","Pablo Neruda","                       8","Dollapi 11",""
"317","Enderr dhe debore","Ferrerja de Kastro","                       4","Dollapi 11",""
"318","Fanga","Alves Redol","                       2","Dollapi 11","Roman"
"319","ne luginen e Sierra Altes","Maria Alise Barozo","                       2","Dollapi 11",""
"320","Dyshimi","Luciano de Crescenzo","                       5","Dollapi 11","Roman"
"321","Lufta e Dyte Boterore","Roberto Batalia","                       2","Dollapi 11","Histori"
"322","Zjarr ne Kadaster","Karlo Montela","                       2","Dollapi 11","Proze&roman"
"323","Metelo  Salani","Vasko Pratolini","                        2","Dollapi 11",""
"324","Lule Shkembi","Lluka Perrone","                       2","Dollapi 11","Poezi"
"325","Ne hijen e bananeve","Karlos Luis Falas","                       2","Dollapi 11","Roman"
"326","Gabimi","Antonios Samaraqis","                        5","Dollapi 11",""
"327","Fuenteovehuna","Lope de Vega","                        4","Dollapi 11","Vellim"
"328","Poezi te zgjedhura","Pablo Neruda","                        2","Dollapi 11","Poezi"
"329","Novela Bullgare","","                        2","Dollapi 11","Novele"
"330","Zjarr I Mallit","Abdyl Latifi Arnaut","                        2","Dollapi 11",""
"331","Dhymbedhjete tregime pelegrine","Gabriel Garcia Marques","                       5","Dollapi 11","Tregim"
"332","Dialogje","Seneca","                    10","Dollapi 11","Dialog"
"333","Kenge","Xhakomo Leopardi","                      5","Dollapi 11","Kenge&Poezi"
"334","Vepra te zgjedhura","Lukiani","                       2","Dollapi 11","Filozofi"
"335","Dekemaroni 1","Bokaco","                       9","Dollapi 11","Doreshkrime&proze italiane"
"336","Dekameroni 2","Bokaco","                     10","Dollapi 11","Doreshkrime&proze"
"337","Dekemaroni 3","Bokaco","                      10","Dollapi 11","Doreshkrime&proze"
"338","Antologjia e poezise italiane XIX/XX","","                        5","Dollapi 11",""
"339","Pirati qe u be pape","Aleksanser Paradhisis","                        4","Dollapi 11","Roman"
"340","Don Kishoti I Mances","Migel de Sarvantes Savedra","                        1","Dollapi 11","Roman"
"341","Nen qiellin e zi","Armando Lopes Salinas","                        4","Dollapi 11","Proze&Roman"
"342","Per Atdheun","Vicente Blacko Ibanjez","                        2","Dollapi 11",""
"343","Papa Jeshil","M.A. Asturias","                        2","Dollapi 11","Roman"
"344","Jsmaeli","Eduardo Asvedo Dias","                        2","Dollapi 11",""
"345","Bertilon,166","Hoze Solee Puig","                        2","Dollapi 11","Roman"
"346","Zinxhiri I dobesive","Jon Luka Karaxhale","                       2","Dollapi 11","Tregim"
"347","Doktor Fausti Magjistar","Viktor Eftimiu","                       2","Dollapi 11","Tragjedi"
"348","Lirika te zgjedhura nga Canzoniere","Francesko Petrarka","                      19","Dollapi 11","Poezi lirike"
"350","Keshtjella","Ismail Kadare","3","Dollapi 5","Roman"
"351","Nentori","Ismail Kadare","3","Dollapi 5","Roman"
"352","Gjenerali I ushtrise se vdekur","Ismail Kadare","1","Dollapi 5","Novel"
"353","Nentori I nje kryeqyteti","Ismail Kadare","4","Dollapi 5","Roman"
"354","princesha Argjiro","Ismail Kadare","3","Dollapi 5","Poeme"
"355","Muzeu I armeve","Ismail Kadare","4","Dollapi 5","Roman"
"356","Emblema e dikurshme","Ismail Kadare","6","Dollapi 5","Novel"
"357","Linja te Largeta","Ismail Kadare","3","Dollapi 5","Novel"
"358","Kronik ne gur","Ismail Kadare","2","Dollapi 5","Novel"
"359","Poezi","Ismail Kadare","13","Dollapi 5","Poezi"
"360","Enderrimet","Ismail Kadare","1","Dollapi 5","Lirik/Poeme"
"361","Vepra letrare","Ismail Kadare","20","Dollapi 5","Roman"
"362","Komisari Rene","Dritero Agolli","5","Dollapi 5","Roman"
"363","Zhurma e ererave te dikurshem","Dritero Agolli","","Dollapi 5","Novel"
"364","Poezia Shqipe","Dritero Agolli","5","Dollapi 5","Poezi"
"365","Pelegrini I Vonuar","Dritero Agolli","1","Dollapi 5","Poezi"
"366","Vjen njeriu I cuditshem","Dritero Agolli","2","Dollapi 5","Poezi"
"367","Ardhja e Migjenit ne letersine shqipe","Ismail Kadare","4","Dollapi 5","Novel"
"368","Perbindeshi","Ismail Kadare","4","Dollapi 5","Roman"
"369","Ftese ne studio","Ismail Kadare","8","Dollapi 5","Roman"
"370","Eskili ky humbes I madh","Ismail Kadare","6","Dollapi 5","Roman"
"371","Dosja H","Ismail Kadare","4","Dollapi 5","Novel"
"372","Gjakftohtsia","Ismail Kadare","2","Dollapi 5","Novel"
"373","Enderr mashtruese","Ismail Kadare","1","Dollapi 5","Novel"
