"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1594","Ne ndjekje te nje krimi","Thoma Frasheri","1","Dollapi 9",""
"1595","Doktor gjilpera,kater perrallat shqiperia si mu duk","Faik Konica","9","Dollapi 9",""
"1596","Shqiperia:kopshti shkembor I europes juglindore","Faik Konica","2","Dollapi 9",""
"1597","Vepra letrare 3","Cajupi","3","Dollapi 9",""
"1598","Vepra letrare 1","Cajupi","3","Dollapi 9",""
"1599","Vepra letrare2","Cajupi","1","Dollapi 9",""
"1600","Gjoha jone sa e mire","Naim Frasheri","3","Dollapi 9",""
"1601","Baba Tomorri dhe vjersha te tjera","Naim Frashei","31","Dollapi 9",""
"1602","Shqipetar","Cajupi","1","Dollapi 9",""
"1603","Poezi te zgjedhura","Cajupi","14","Dollapi 9",""
"1604","Poezia shqipe","Ali Asllani","9","Dollapi 9",""
"1605","Israelite dhe filistine","Fan S Noli","1","Dollapi 9",""
"1606","Vepra 1","Sami Frasheri","1","Dollapi 9",""
"1607","Vepra 2","Sami Frasheri","2","Dollapi 9",""
"1608","Vepra letrare 4","Cajupi","4","Dollapi 9",""
"1609","Ndre Mjeda","Juvenilja dhe vjersha te tjera","13","Dollapi 9",""
"1610","Vepra te zgjedhura","Zef Jubani","5","Dollapi 9",""
"1611","Chri Chri bota sic ish. Kur qante e qeshte bilbili","","5","Dollapi 9",""
"1612","Tregime te zgjedhura","Nonda Bulka","4","Dollapi 9",""
"1613","Maska te cjerra","Nonda Bulka","4","Dollapi 9",""
"1614","Vepra letrare3","Nonda Bulka","9","Dollapi 9",""
"1615","Nikolejda","Gjergj Fishta","9","Dollapi 9",""
"1617","Evgjeni Grande","Monone de Balzak","1","rafte",""
"1618","Pallati I Endrrave","Ismail Kadare","1","rafte",""
"1619","Kronike ne gur","Ismail Kadare","1","rafte",""
"1620","Etika dhe iluminimi","Ndricim thomai","9","rafte",""
"1621","Mbi artin Bizantin","Viktori Puzanova","8","rafte",""
"1622","Shqiperia dhe vendi I shqiptarve","Hygo Adofi Bernatzis","5","rafte",""
"1623","Shqiptaret ne venedik","Ducia Nadin","7","rafte",""
